imageid,keywords,year,_material,_height,_width,_time,_description
0ff5556e-f8d7-4c15-ae67-1696e1189f94,"Nuenen,sketch,drawing",1884,"pen and ink",750,1240,"1884 - 1885","Peasant with Hayfork (in silhouette)"
6fc92c81-0b41-4261-aa0f-48b676d3ae03,"Antwerp",1886,pencil,1360,1020,1886,Notes
4ccf0742-3b28-4af0-b774-52b46eab6271,"Saint-Rémy-de-Provence,drawing,Still Life,interior",1890,"chalk on paper",2470,3300,1890,Chair
a262d7f4-2a64-4865-8421-bdd715331f83,"Saint-Rémy-de-Provence,drawing,Nature",1889,"reed pen and pen and ink",4130,3140,1889,Arums
19e6c9e4-d606-4898-9466-a1c1f9b77d1b,"Paris,sketch,drawing",1886,"pencil on paper",1980,1090,1886,"Seated Female Nude"
5adc08c3-0194-427d-bd4b-26d924b705a0,"Nuenen,drawing,Figures,interior,Peasant Life",1885,chalk,2260,2990,1885,"Woman Cutting Bread"
27a10ed7-a705-4e69-b23b-f6eeaf3d068d,"Nuenen,sketch,drawing",1884,"pencil on paper",750,1240,"1884 - 1885","Head of a Woman"
775982bc-3b8d-4bbd-98c7-f465a75e9797,"Saint-Rémy-de-Provence,drawing,Nature,landscape",1889,pencil,6150,4720,1889,"Trees in the Garden of the Asylum"
1e5adb8b-7630-4ef4-a190-59ac712fc2d3,"Arles,painting,interior",1888,"oil on canvas",9130,7240,1888,"The Bedroom"
f2c60d56-6cff-4136-9f6b-2fbdca6f8c42,"Paris,painting,Cityscape",1886,"oil on cardboard",1630,2220,1886,"Path in Montmartre"
9a2269bb-0ec4-4222-9ee4-bc871eb1a761,"Paris,painting,Cityscape",1887,,2700,1880,1887,"Exterior of a Restaurant in Asni&#232;res"
247b6288-99a6-4c69-9dc0-b059dbe5c184,"Nuenen,sketch,drawing",1884,"pencil on paper",750,1240,"1884 - 1885","Construction drawing of a perspective frame"
84b5b05d-31db-4057-8a8b-cc42f6e8d282,"The Hague,drawing,Figures",1881,pencil,980,2340,1881,"Scheveningen Woman"
483d5363-2233-4706-a332-7699f5eedf60,"Auvers-sur-Oise,drawing,Portrait",1890,"chalk on paper",2380,3050,1890,"Marguerite Gachet at the Piano"
dda273e1-f123-45c4-b15a-078b151f728b,"Paris,sketch,drawing",1886,"chalk on paper",1980,1090,1886,"City View"
c9d36331-3c53-4069-a01d-a92996d423b7,"Paris,drawing,study,Still Life,Figures,nude",1886,"chalk on paper",2210,2660,1886,"Fragment of a Venus"
77523a89-2fbd-49a1-b8b0-b0b5e53c13c5,"Antwerp,drawing,Figures",1886,"chalk on paper",5810,7450,1886,"Seated Man with a Beard"
bc179fa4-cdf0-4b4f-94d9-1b58be992e3b,"The Hague,drawing,watercolour,Figures,landscape",1882,watercolour,1090,720,1882,"Sketch of Miners in the Snow: Winter, enclosed in a letter from Vincent van Gogh to Theo van Gogh"
1c27db93-8461-4048-8248-6d2f0ebb6c0d,"Paris,drawing,Portrait",1887,chalk,2580,3490,1887,"Head of a Man (possibly Theo van Gogh)"
e0de517b-880b-4a17-800f-4f8a0cda9b95,"Nuenen,drawing,Figures,Peasant Life",1885,"chalk on paper",1970,3290,1885,"Peasant Woman Lifting Potatoes"
467eb709-b643-4eab-8b42-7b22a7352277,"The Hague,drawing,Cityscape",1882,pencil,3370,2390,1882,"The Entrance to the Pawn Bank, The Hague"
e95582df-a695-451e-b464-d1e2760a2ef9,"Arles,drawing,Cityscape,landscape,Nature",1888,,2440,3190,1888,"Park with Fence"
052f1a10-169e-4686-9075-9d28486254f4,"Nuenen,sketch,drawing",1884,"chalk on paper",750,1240,"1884 - 1885","Head of a Woman"
78f4221c-7372-4327-8bee-c29befd97d47,"Auvers-sur-Oise,drawing,Nature",1890,"chalk on paper",2380,3050,1890,"Study of a Tree"
ef0734a3-3e37-47d2-9b8c-43c6ff5ea981,"Saint-Rémy-de-Provence,drawing,Nature",1889,"pencil on paper",2050,2970,1889,"Trees in the Garden of the Asylum"
c21cdf9b-b282-406c-8d98-2383b46dbcde,"sketch,drawing",1890,"chalk on paper",850,1340,1890,"Figure and notes"
94cdc8b2-de38-4c58-aee7-ea9c54adb2c8,"Nuenen,sketch,drawing",1884,,750,1240,"1884 - 1885",Church
db4e94a0-48e4-42fe-86c3-17b5113659c6,"The Hague,drawing,Figures",1882,pencil,2970,4870,1882,Digger
4c6bca46-f0e7-4d68-a985-27817628a677,"sketch,drawing",1890,"pencil on paper",850,1340,1890,"Figures on a Bridge or Road (lower part)"
2a48c439-d0a1-4171-adf0-36cea53bf8fb,"Auvers-sur-Oise,drawing,interior",1890,"pencil on paper",4430,2730,1890,"Interior with Tables and Chairs, and a Sketch of &#39;The Bedroom&#39;"
3e7e75a4-fbc3-425c-869c-cb65db16ba4b,"Auvers-sur-Oise,drawing,Figures",1890,"pencil on cardboard",4000,4720,1890,"Sketch of a Seated Woman"
b49d82de-21ae-4b56-860d-6582329a4466,"The Hague,print,Figures",1882,lithography,2650,4280,1882,"Old Man Drinking Coffee"
4e0a472a-5c36-45b7-b9ce-918559e3cb61,"Paris,painting,Still Life",1887,"oil on canvas",3840,4630,1887,"Carafe and Dish with Citrus Fruit"
067eb31f-0692-4f56-b586-6d722b8146f5,"sketch,drawing",1890,"chalk on paper",850,1340,1890,"Man Mowing"
af79e55c-1319-46c2-879e-e99cd3e31812,"1871 - 1880,Brussels,drawing,Figures",1880,pencil,3380,2570,"1880 - 1881","Woman on her Deathbed"
fc4648de-d66a-47ae-af2f-71a7fbedc735,"Nuenen,sketch,drawing",1884,"pencil on paper",750,1240,"1884 - 1885","Head of a Woman"
1d1f2feb-5943-40c6-95df-99caf071acae,"Paris,painting,Self-Portrait",1887,"oil on canvas",3360,4450,1887,Self-Portrait
0a1adc27-8383-40e7-826a-562b281cab94,"Auvers-sur-Oise,painting,landscape,Nature",1890,"oil on canvas",10100,5020,1890,"Landscape at Twilight"
d0326670-6784-4ae6-8df7-84eb7cf2bb24,"Nuenen,painting,Still Life",1885,"oil on canvas",4320,3130,1885,"Birds&#39; Nests"
a56fbad4-f824-4e8f-83ab-f1d77eae788b,"Paris,painting,Portrait",1887,"oil on canvas",2200,2720,1887,"Portrait of Agostina Segatori"
6c52c93b-fe46-4d99-8eb5-c05baedd68cf,"Paris,painting,Still Life",1887,"oil on canvas",3050,4070,1887,Skull
5c9276ac-dcc3-42d8-afe6-75cda0b4bd8b,"The Hague,drawing,Figures",1882,"pencil on paper",2600,4740,1882,"Old Man in a Tailcoat"
6e943267-8626-4364-a87d-83ca44eca3ec,"Nuenen,sketch,drawing",1884,"pen and ink",750,1240,"1884 - 1885","Peasant Woman Gleaning Ears of Corn (in silhouette)"
