imageid,keywords,year,_material,_height,_width,_time,_description
223b104d-fda5-4ebf-a3a5-e25a2cdb2b0d,"Saint-Rémy-de-Provence,drawing,Nature",1889,chalk,6190,4690,1889,"Tree and Bushes in the Garden of the Asylum"
08f5dd9d-9f17-41c2-b9e9-4eaab68b9130,"Nuenen,drawing,landscape,Nature",1884,pencil,3450,4230,1884,Ditch
0e5b6a08-e89e-4194-8127-16637899aa27,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,"chalk on paper",3330,4020,"1884 - 1885","Head of a Woman"
12790f08-960d-4097-9019-cc33545a06c5,"Antwerp,drawing,Cityscape",1885,"chalk on paper",1660,920,"1885 - 1886","City View"
0f574097-5076-438a-ac98-69a1d1595be3,"",1885,"chalk on paper",1360,1020,1885,"Note with rubbing"
579f29bc-4cea-44c0-8732-5644ce741f16,"",1885,"pencil on paper",1360,1020,"1885 - 1886",Note
efc61299-c6e3-4ce0-90e2-eb5970c80d5f,"Paris,drawing,Figures,Cityscape",1887,"pencil on paper",2570,3490,1887,"Study for &#39;Woman Sitting by a Cradle&#39;"
264fd23b-2b15-42a8-a3a7-8175d1cea9f7,"Saint-Rémy-de-Provence,painting,landscape,Nature",1889,"oil on canvas",9230,7300,1889,Undergrowth
42cd0af7-96fc-4a60-926e-9464f0fb8cba,"sketch,drawing",1886,"chalk on paper",1060,1020,1886,Foot
f0628703-33df-4164-bd29-a33240faffec,"Nuenen,drawing,Figures,interior,Peasant Life",1885,chalk,3690,3050,1885,"Woman Sewing"
9e4ed976-1499-4114-b12b-f3b5b1143443,"Saint-Rémy-de-Provence,Nature",1889,"chalk on paper",2380,3160,"1889 - 1890","Pine Cone"
eb93f7cf-9bb1-40ff-9cd5-4931abc2e352,"Paris,painting,Self-Portrait",1887,"oil on canvas",3450,4220,1887,Self-Portrait
0942a054-af79-43ce-883e-264b4dc94de7,"sketch,drawing",1885,"chalk on paper",1360,1020,"1885 - 1886","Nude and note"
3ee14537-932e-4c1c-b1da-04711f45982f,"Paris,drawing,Cityscape",1887,pencil,5380,3970,1887,"Road Running Beside the Paris Ramparts"
5df91588-d818-4035-bf44-7ba8604c7540,"sketch,drawing",1886,pencil,1360,1020,1886,"Head of a Woman"
87f51afb-afb0-4e65-a3e8-c78e133d5b50,"Nuenen",1885,"chalk on paper",750,1240,1885,Note
fa439a1a-9305-42b6-a214-2b354ba86e41,"sketch,drawing",1890,"chalk on paper",850,1340,1890,"Man Working in the Fields"
63badce0-148c-41a3-a54f-4bda446c993a,"Paris,painting,Portrait,Figures",1886,"oil on canvas",1910,2730,1886,"Portrait of a Woman"
8be1e6d7-deda-4b1e-875a-15627b6b59bf,"Antwerp,sketch,drawing",1886,"pencil on paper",1360,1020,1886,"Digger, Discus Thrower and note"
d1b61ccb-f95b-4f13-aa64-650a5351dd1f,"Paris,drawing,study,Figures,Still Life,nude",1886,charcoal,3130,4770,1886,Idol
2f6f5792-b445-4c4c-a41c-7274aab4c10a,"Paris,drawing,Figures",1887,"chalk on paper",3480,2580,1887,Pianist
efac6902-7ccf-47ee-8897-5687dab178c5,"Auvers-sur-Oise,drawing,Figures,Heads",1890,"chalk on paper",2420,3100,1890,"Head of a Man"
9a9ebd5e-0f38-4c9c-9f63-ce273092e799,"Nuenen,drawing,Figures,Peasant Life",1885,"chalk on paper",4100,5570,1885,"Peasant Woman Digging"
2b06b688-66e5-4203-8c8a-2fedd3ebcb68,"Paris,painting,Cityscape,landscape",1886,"oil on canvas",6260,5630,1886,"The Hill of Montmartre with Stone Quarry"
f4a46cdd-484f-473b-89e1-d05eec7c58ae,"Nuenen,drawing,Figures,Peasant Life",1885,"chalk on paper",4200,5270,1885,"Peasant Woman Digging"
8ecbfd4a-3cec-437f-b89c-57f33036fb38,"Auvers-sur-Oise,drawing,landscape,Figures",1890,"pencil on paper",2750,4450,1890,"Landscape with Houses and Woman with a Spade"
e0d03bb1-276c-42ca-b697-5413f19627c9,"Nuenen,drawing,landscape,Peasant Life",1885,"chalk on paper",4570,3010,1885,"Wheatfield with Stooks and a Mill"
25da9755-f032-488a-8223-c98404e1346b,"Nuenen,sketch,drawing",1884,"pencil on paper",750,1240,"1884 - 1885","Post Office in Eindhoven"
33d99ecc-31c6-4fa5-9b6b-5c7ad82a5b10,"Nuenen,sketch,drawing",1884,"chalk on paper",750,1240,"1884 - 1885","The Old Church Tower in the Snow"
ac80e8e8-ccc9-4ed7-bfb6-a853fd9789b0,"Nuenen,drawing,Figures,Peasant Life",1884,pencil,4510,3570,1884,Weaver
3e2c57a9-9c6f-40be-a6c2-2a64dcb792d2,"Paris,painting,Still Life",1887,"oil on cardboard",4080,3270,1887,Shoes
33ef16a4-d26c-4512-a2e3-0ac57320734a,"Paris,painting,Nature,landscape",1887,"oil on canvas",3800,4650,1887,Trees
7404232e-a26b-4950-9156-55bfa97bc58d,"Arles,painting,Portrait",1888,"oil on burlap",3380,3820,1888,"Portrait of Gauguin"
c7013ebe-cbfb-484a-8755-0639f3681bab,"Arles,drawing,landscape",1888,pencil,3470,2580,1888,"Landscape with Windmills at Fontvieille"
9593fe98-7810-430f-ad84-faf44d0e642e,"Paris,painting,Still Life",1887,"oil on canvas",2200,3190,1887,"Flowerpot with Garlic Chives"
f547d652-8155-4269-94a2-867fbe4f2da9,"Paris,painting,Still Life",1887,"oil on canvas",0,0,1887,"Quinces, Lemons, Pears and Grapes"
ad94bdce-7bfb-4969-a5cc-5a3ff39d1204,"",1885,pencil,1360,1020,"1885 - 1886",Notes
8c750d9c-23ab-4820-84a7-55601ee3ef00,"Auvers-sur-Oise,drawing,landscape,Figures,Peasant Life",1890,"crayon on paper",3120,2380,1890,"Landscape with Peasant Women Harvesting"
064e91f2-9cdb-4fca-9a1e-1832316297d7,"sketch,drawing",1890,"pencil on paper",850,1340,1890,"Figures on a Bridge or Road (upper part)"
2fb40785-34aa-4c7a-8bfc-868ad7c6d46a,"Paris,drawing,Figures",1886,"chalk on paper",4630,3210,1886,Feet
e640609e-ba15-4750-995c-cc8bebf4507a,"Saint-Rémy-de-Provence,drawing,landscape,Nature",1889,chalk,6510,4990,1889,"Olive Trees with the Alpilles in the Background"
aad33a74-341a-4eb9-8271-c55b3ad0bdc0,"Saint-Rémy-de-Provence,drawing,Animals",1889,chalk,2420,1630,1889,"Giant Peacock Moth"
c38e473f-ab8d-4689-92fc-a25d3807dedd,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,pencil,1010,1450,"1884 - 1885","Head of a Woman"
5f6c5ba1-eb26-4aae-be65-8f8583b8fe42,"sketch,drawing",1890,"pencil on paper",850,1340,1890,"Hind Legs of Horse"
41a573a9-cf9f-4be7-bfad-73874f2c0640,"Saint-Rémy-de-Provence,drawing,Figures,landscape",1890,"pencil on paper",3200,2440,1890,"Winter Landscape with Couple Walking"
9fe7caba-969e-41e9-8f28-29e024c6dc56,"Nuenen,painting,Still Life",1885,"oil on canvas",6600,5080,1885,"Basket of Potatoes"
233f609b-b1b0-4913-b223-ad03988078ca,"Saint-Rémy-de-Provence,drawing,Nature",1889,pencil,4000,4760,1889,Periwinkle
b0f62135-488b-48db-bfc4-c0e38a0c6f5a,"Nuenen,sketch,drawing",1885,"pencil on paper",750,1240,1885,"Construction drawing of a perspective frame"
fa6fd644-8b0e-4f1b-87ee-2e40e8f7c2bb,"Auvers-sur-Oise,drawing,landscape,Townscape",1890,pencil,5400,4430,1890,"Old Vineyard with Peasant Woman"
3885ad55-0210-4bf6-a78f-eba7529d3b32,"Nuenen,sketch,drawing",1885,"chalk on paper",750,1240,1885,"Peasant Woman in the Fields"
c49e8628-ebb9-40fe-ab6b-fcf5df2f3225,"Paris,painting,Cityscape",1886,"oil on cardboard",4080,3010,1886,"View from Vincent&#39;s Studio"
3ac79ad3-519d-4c8e-a199-f9f6317418bd,"Paris,painting,Still Life",1887,"oil on canvas",2750,2150,1887,"Dish with Citrus Fruit"
ec7cc88c-38ee-4694-9fcd-5c828fa7a6f0,"Auvers-sur-Oise,drawing,Still Life,Figures,Heads",1890,"chalk on paper",2390,3140,1890,"Egyptian Head and Figure Study"
59d58657-4611-42c9-b811-4e6bb174877f,"Saint-Rémy-de-Provence,drawing,Figures",1890,"chalk on paper",3230,2380,1890,"Studies of a Window and a Foot"
d8a6b4bc-ff3e-4d4f-9cfc-2814b47e7c82,"Saint-Rémy-de-Provence,drawing,Nature",1889,"pencil on paper",3020,2150,1889,"(Pine) Trees and Wall in the Garden of the Asylum"
2c6a67f4-1437-469e-a32f-4d636f727173,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,pencil,2090,3360,"1884 - 1885","Head of a Woman"
36d640be-b66c-46f8-b235-2713033ddd9c,"Saint-Rémy-de-Provence,drawing,Figures,Peasant Life",1890,"pencil on paper",2390,3180,1890,"Three Men Shouldering Spades on a Road in the Rain"
70da1afb-1587-47bb-b76c-837908a20b79,"Paris,painting,Still Life",1886,"oil on canvas",4610,6110,1886,"Vase with Chinese Asters and Gladioli"
bc9d57b4-a99f-4678-971e-39ce4baa941f,"Nuenen,drawing,landscape,Townscape",1883,pencil,2860,2050,1883,"Landscape with a Church"
02abbefb-c138-46f1-9c1f-5250bf4fdeb9,"The Hague,print,Cityscape",1882,lithography,3420,5000,1882,"At Eternity&#39;s Gate"
a7a33975-a4e0-443d-b4a6-a284128f4cc9,"Nuenen,drawing,interior,Figures,Peasant Life",1885,"chalk on paper",3460,2130,1885,"Studies of the Interior of a Cottage, and a Sketch of &#39;The Potato Eaters&#39;"
